Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1.0,2019-10-22,26-246,LAL,@,LAC,L (-10),0,27:23,0,3,.000,0,2,.000,0,0,,0,3,3,3,0,0,1,5,0,-2.1,-8
2,2.0,2019-10-25,26-249,LAL,,UTA,W (+9),0,20:44,0,6,.000,0,2,.000,1,2,.500,0,2,2,1,2,0,0,3,1,-1.5,+3
3,3.0,2019-10-27,26-251,LAL,,CHO,W (+19),0,18:35,4,8,.500,2,4,.500,0,0,,1,0,1,2,1,0,1,1,10,7.7,+21
4,4.0,2019-10-29,26-253,LAL,,MEM,W (+29),0,28:35,6,11,.545,0,1,.000,1,1,1.000,0,6,6,3,0,1,1,3,13,10.1,+26
5,5.0,2019-11-01,26-256,LAL,@,DAL,W (+9),0,20:40,1,5,.200,0,1,.000,0,0,,0,0,0,1,0,0,1,2,2,-2.2,0
6,6.0,2019-11-03,26-258,LAL,@,SAS,W (+7),0,28:25,5,9,.556,2,5,.400,2,2,1.000,0,1,1,0,1,0,1,2,14,9.2,+4
7,7.0,2019-11-05,26-260,LAL,@,CHI,W (+6),1,21:16,3,7,.429,1,2,.500,1,2,.500,1,2,3,1,1,0,2,1,8,4.5,-1
8,8.0,2019-11-08,26-263,LAL,,MIA,W (+15),0,17:54,1,6,.167,0,3,.000,0,0,,1,1,2,3,1,0,0,0,2,2.3,-3
9,9.0,2019-11-10,26-265,LAL,,TOR,L (-9),0,4:10,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-1.1,-10
10,10.0,2019-11-12,26-267,LAL,@,PHO,W (+8),0,8:28,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,-2
11,11.0,2019-11-13,26-268,LAL,,GSW,W (+26),0,18:50,3,9,.333,0,1,.000,0,0,,1,2,3,1,1,0,0,1,6,3.5,+14
12,12.0,2019-11-15,26-270,LAL,,SAC,W (+2),1,24:35,6,10,.600,3,5,.600,1,1,1.000,1,2,3,0,1,0,1,2,16,11.9,-7
13,13.0,2019-11-17,26-272,LAL,,ATL,W (+21),1,20:44,6,8,.750,0,2,.000,1,1,1.000,0,1,1,1,1,0,3,0,13,8.8,+12
14,14.0,2019-11-19,26-274,LAL,,OKC,W (+5),1,33:02,5,9,.556,3,4,.750,0,0,,2,2,4,2,0,0,0,1,13,11.7,+6
15,15.0,2019-11-22,26-277,LAL,@,OKC,W (+3),1,31:33,5,9,.556,4,5,.800,3,3,1.000,1,4,5,2,1,0,1,3,17,14.8,+6
16,16.0,2019-11-23,26-278,LAL,@,MEM,W (+1),1,29:27,3,6,.500,3,5,.600,3,4,.750,1,1,2,1,1,0,1,3,12,9.1,+2
17,17.0,2019-11-25,26-280,LAL,@,SAS,W (+10),1,28:22,5,7,.714,3,5,.600,1,2,.500,0,1,1,1,2,1,2,1,14,12.0,-2
18,18.0,2019-11-27,26-282,LAL,@,NOP,W (+4),1,28:49,2,8,.250,1,5,.200,0,0,,0,1,1,2,0,1,0,2,5,1.8,-11
19,19.0,2019-11-29,26-284,LAL,,WAS,W (+22),1,28:39,2,6,.333,0,2,.000,0,0,,0,3,3,3,0,0,0,3,4,2.4,+23
20,20.0,2019-12-01,26-286,LAL,,DAL,L (-14),1,23:39,3,7,.429,1,2,.500,0,0,,0,3,3,2,1,0,1,3,7,4.4,-11
21,21.0,2019-12-03,26-288,LAL,@,DEN,W (+9),1,32:26,2,5,.400,0,3,.000,0,0,,1,2,3,3,3,0,3,0,4,4.7,+3
